username,cursornum,primary_id,x,y,z,polar_rad,azimuthal_rad,time
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,543
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,543
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,543
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,544
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,544
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,544
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,544
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,549
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,550
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,550
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,550
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,550
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,551
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,551
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,552
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,552
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,552
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,552
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,553
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,553
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,553
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,553
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,554
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,554
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,554
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,554
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,555
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,555
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,555
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,555
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,556
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,556
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,556
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,556
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,557
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,557
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,557
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,557
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,558
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,558
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,558
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,558
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,558
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,560
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,560
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,560
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,560
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,561
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,561
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,561
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,562
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,562
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,562
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,562
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,562
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,562
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,562
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,562
hoge,51,0,280.76593,112.53575,-293.8926,0.0,0.0,566
hoge,51,1,342.84863,551.22845,-30.997253,2.924597,1.0630363,566
hoge,51,2,1322.7997,4.2247367,-34.427734,5.1344748,6.11265,566
hoge,51,3,503.86597,597.8645,-251.75444,1.3870026,1.8216723,566
hoge,51,4,400.05582,300.75195,-72.06087,4.361919,5.787742,566
hoge,51,5,1135.6425,720.71094,-152.96347,5.2102046,6.170292,566
hoge,51,6,1687.2344,20.387192,-248.83324,5.4972744,3.8877773,568
hoge,51,7,325.49664,137.84991,-181.67899,1.9705107,1.6263338,568
hoge,51,8,181.48969,863.729,-44.425476,2.2899616,2.424162,568
hoge,51,9,1804.1167,889.3566,-210.1579,4.731498,1.56543,569
hoge,51,10,1193.2424,241.86107,-26.79654,1.0476127,2.377562,569
hoge,51,11,945.56934,694.76764,-11.081085,1.698225,1.4216815,569
hoge,51,12,1772.309,635.1886,-14.924713,4.929878,0.79491705,570
hoge,51,13,655.4607,896.3584,-49.37216,0.884374,4.854122,570
hoge,51,14,509.25818,527.00476,-34.749542,4.5476418,1.1179668,570
hoge,51,15,804.7442,48.181786,-224.28604,3.423165,5.6818056,570
hoge,51,16,717.3794,242.0209,-27.37564,2.3305883,4.3409953,570
hoge,51,17,1916.9216,22.882675,-162.14124,5.1291785,1.8490438,571
hoge,51,18,209.38672,832.1517,-108.09891,5.684874,4.029958,571
hoge,51,19,1407.9004,485.73523,-63.087646,1.8541944,0.848609,571
hoge,51,20,852.18933,1007.6706,-7.8620605,2.503909,3.3753297,572
hoge,51,21,1614.3013,47.789303,-25.950775,0.067722484,5.674148,572
hoge,51,22,1886.0299,166.82988,-286.9103,2.7353418,4.603263,572
hoge,51,23,430.13696,579.058,-19.47168,1.1450493,5.0299335,573
hoge,51,24,1141.6538,999.5741,-183.07544,4.953732,0.48135313,573
hoge,51,25,1344.1243,654.1538,-167.8125,4.757224,6.0697627,573
hoge,51,26,840.3675,199.03345,-246.15579,3.883441,1.9177045,573
hoge,51,27,1194.8612,836.2455,-236.09537,0.74533343,2.670788,574
hoge,51,28,1124.4846,104.81768,-109.3116,1.721834,1.8902127,574
hoge,51,29,1526.6509,752.02856,-4.4577637,2.5447981,6.1578946,574
hoge,51,30,60.18631,820.37305,-149.43404,5.7742295,4.5109534,574
hoge,51,31,747.8217,212.54921,-85.313705,1.2939596,5.4179096,575
hoge,51,32,1101.9447,432.19424,-6.9729004,3.3312285,0.2763772,575
hoge,51,33,994.2767,227.99442,-109.856964,2.36895,3.4631617,575
hoge,51,34,896.14026,1035.0486,-181.69675,1.9177352,3.7004633,575
hoge,51,35,1194.3551,231.0683,-248.11154,2.1574137,0.23117083,577
hoge,51,36,1073.749,334.7246,-75.46443,2.9519708,1.4646461,577
hoge,51,37,901.0198,939.4846,-26.318115,0.6722716,1.9162072,577
hoge,51,38,694.91766,622.5571,-291.39948,0.2098876,4.4440246,577
hoge,51,39,1563.9921,824.1514,-18.771973,3.9701674,3.5904806,578
hoge,51,40,747.0745,824.5933,-193.08865,1.208178,2.0036175,578
hoge,51,41,1475.6238,42.81964,-161.16098,5.173773,5.6987205,578
hoge,51,42,880.39056,521.06006,-87.14305,0.44376388,0.62031734,578
hoge,51,43,1583.8065,305.45523,-181.6863,4.7270308,1.7135315,579
hoge,51,44,971.4759,538.0664,-245.40637,0.005616482,2.803098,579
hoge,51,45,1395.1625,157.7148,-261.45605,2.9635825,3.325731,579
hoge,51,46,1160.9851,6.1861825,-271.97745,6.072109,1.577554,579
hoge,51,47,1676.3496,906.78436,-191.5415,5.9877315,5.4627833,580
hoge,51,48,1497.3439,522.6834,-87.70723,3.1351564,5.1708627,580
hoge,51,49,1409.814,415.16867,-197.54959,3.7956252,0.23976316,580
hoge,51,50,822.6228,1029.1692,-60.978485,4.957354,3.4215689,580
